R1,R2,R3,R4
22.85995892,0.441474897,1.113819614,387.6572301
5.370975724,0.460753123,1.311484496,338.8571134
23.43612332,0.418433301,1.187275018,403.5692608
5.759142276,0.443286443,1.371230198,348.4617997
18.75488869,0.467796548,1.139448277,389.5751448
13.4956082,0.488200347,1.634196524,391.6987414
15.10499062,0.44092829,0.98002275,351.8702357
4.51428759,0.327688323,1.054799125,279.9327563
18.15022304,0.334400253,0.796829285,327.1439192
8.143006432,0.432926478,1.27985508,332.9809591
9.684493695,0.392306073,0.808822207,332.3371185
4.305144084,0.362474049,0.991957451,353.4344698
16.60924676,0.426034227,1.028987944,388.3767342
6.775530839,0.432049283,1.23465301,356.6306869
15.11091298,0.338601709,0.868178159,343.2974961
8.245060093,0.374787683,1.228933155,326.4754153
24.30053205,0.345563561,0.841114199,342.7435773
7.07146754,0.57818954,2.704633674,476.1299753
16.24504193,0.644375261,1.824725632,514.0643019
15.77907196,0.641708799,2.980411389,579.5597229
22.60541665,0.633116228,1.79925364,573.4326375
6.800487296,0.472372378,2.371305545,482.9321868
25.67672404,0.543474134,1.494245816,562.6694444
10.34012623,0.55378806,2.498787612,586.0198707
31.46695983,0.587534495,1.695435553,645.5027288
7.169074268,0.54339208,1.915185682,555.69517
32.91587754,0.507567687,1.293074418,622.789131
6.249255892,0.528643797,1.827802038,648.2107069
33.05524103,0.717457739,1.752122589,765.7163558
5.997260532,0.532998837,2.12970512,596.2580055
32.81058454,0.651951753,1.769467372,731.1665178
5.43193963,0.504073548,1.867899348,570.7348503
38.02410495,0.580012847,1.448100281,692.9200106
6.760434723,0.546134835,2.223395881,660.0423192
30.18847218,0.672427097,1.860893085,714.27282
3.438743652,0.388494317,1.21078937,457.6737597
36.20561405,0.612754679,1.543172842,692.7169794
12.60166144,0.673364232,2.88404378,756.2447638
30.37188157,0.72392406,2.192175872,776.4126313
6.787387774,0.649921574,2.16846877,702.8920266
43.94699536,0.578767464,1.628639437,696.3587345
16.13286417,0.800821262,3.072417283,937.0463787
35.04912295,0.859216502,2.245795762,770.4939343
7.753648206,0.582215186,2.969060313,698.161437
19.50755472,0.506387205,1.762878027,515.8830483
14.51781026,0.615473642,3.126167137,627.6506166
28.67339378,0.498253227,1.921568198,537.5903207
5.442155966,0.473464684,1.902036095,522.1497371
26.06742929,0.574790788,1.404723268,570.4527695
7.607598521,0.534269225,1.8273235,556.3385667
24.42052444,0.545114543,1.14115978,550.6327919
8.076769763,0.507052866,2.362498497,588.4984526
29.59853951,0.631610913,1.785464042,700.7095376
6.220149103,0.505736186,2.364894092,662.9969274
25.48077208,0.598072365,1.570342842,617.5980597
10.10577208,0.592484383,2.725550817,632.7702942
21.2843906,0.46312001,1.578204755,514.9219243
7.390171401,0.633365943,3.286995335,763.8273376
37.853904,0.776068469,1.989964602,725.5533247
3.896851959,0.415432122,1.346145402,617.837836
18.97956644,0.641167088,1.25236446,652.0393942
6.03420621,0.70685364,1.665395403,937.7735509
21.03489925,0.918899839,1.509815122,848.7954148
7.26042462,0.619519405,1.702361151,824.7876807
25.54031083,0.707417392,1.287834452,759.2364045
6.573370699,0.576869923,1.699451408,851.4824881
9.653512224,0.813849033,1.258758311,766.224806
9.76519244,0.746691946,1.738552814,1026.82676
33.1584008,0.753110925,1.142647426,887.7355732
7.161744015,0.649667759,1.54679204,1054.496294
19.4186846,0.716004043,1.154228212,726.525906
3.516491459,0.491185922,0.964448003,937.3386358
17.25990855,0.585922628,0.846736005,631.3471656
1.581002029,0.305215591,0.494980873,613.1040487
19.96053826,0.762745439,0.981721986,656.5714334
5.59291222,0.610211256,1.155377694,942.268958
66.53966105,0.409537485,0.653208086,682.9356839
2.754007386,0.493749503,0.819670593,785.1325921
28.77052035,0.727765936,0.937374437,703.8240839
3.691739438,0.538500098,1.013361445,894.7920503
27.58937245,0.739662125,1.031272115,735.1844255
2.053482058,0.370406075,1.217397165,718.9525462
27.234245,0.736765413,1.264761074,693.8209247
1.43462021,0.323121413,0.56709547,653.1442494
12.95431615,0.669481844,0.991982402,623.99127
3.663865971,0.505050835,0.844906032,885.2751985
40.41012026,0.792742811,1.227328827,815.661625
4.880612412,0.585669123,1.029834437,933.2723134
27.96701385,0.685930503,0.983308001,764.5835176
